time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.986412,0.4566,0.1652,-0.6984,0.851
0.998006,0.3327,0.1346,-0.6892,0.777
1.002481,0.2211,0.0842,-0.5339,0.584
1.007419,0.1615,0.0603,-0.2650,0.316
1.016419,0.1724,0.0412,-0.0757,0.193
1.025231,0.1875,0.0221,0.0228,0.190
1.034011,0.2048,0.0102,0.0040,0.205
1.042382,0.1987,0.0390,-0.0974,0.225
1.047395,0.1955,0.0390,-0.2400,0.312
1.055321,0.1807,0.0606,-0.3934,0.437
1.063219,0.1949,0.0990,-0.4788,0.526
1.071707,0.1782,0.0439,-0.4771,0.511
1.080344,0.2036,0.0538,-0.3957,0.448
1.087874,0.2151,0.0396,-0.3425,0.406
1.103970,0.2344,0.0183,-0.2436,0.339
1.104518,0.2775,-0.0246,-0.1686,0.326
1.111548,0.2593,-0.0555,-0.1624,0.311
1.119434,0.2467,-0.0888,-0.1682,0.311
1.127075,0.2469,-0.0863,-0.2046,0.332
1.135135,0.2308,-0.0478,-0.2524,0.345
1.143078,0.2506,0.0026,-0.3002,0.391
1.151106,0.2108,0.0602,-0.3194,0.387
1.159171,0.1450,0.1370,-0.3203,0.377
1.167031,0.0558,0.1802,-0.2679,0.328
1.175161,-0.0256,0.2019,-0.2010,0.286
1.187415,-0.0832,0.2259,-0.1223,0.270
1.192001,-0.0932,0.2236,-0.0409,0.246
1.200342,-0.1274,0.2214,0.0219,0.256
1.210417,-0.1645,0.2335,0.0402,0.288
1.216933,-0.1971,0.2073,0.0339,0.288
1.225210,-0.1991,0.1668,0.0100,0.260
1.233806,-0.1107,0.1670,0.0352,0.203
1.242386,-0.0928,0.1673,0.0130,0.192
1.250267,-0.0999,0.2299,0.0226,0.252
1.258477,-0.1658,0.3477,-0.0132,0.385
1.263198,-0.2962,0.4704,0.0415,0.557
1.271269,-0.4261,0.5070,0.1148,0.672
1.279067,-0.4948,0.4195,0.2006,0.679
1.291788,-0.4484,0.2101,0.2366,0.549
1.298836,-0.4109,-0.0272,0.2297,0.472
1.303565,-0.4026,-0.3167,0.2534,0.572
1.311012,-0.4712,-0.5936,0.2644,0.803
1.319700,-0.5442,-0.7882,0.2594,0.992
1.327161,-0.6045,-0.8958,0.3627,1.140
1.335454,-0.5893,-0.9854,0.3832,1.210
1.342947,-0.6692,-0.9113,0.3858,1.195
1.351212,-0.7410,-0.7116,0.4142,1.108
1.359119,-0.8274,-0.3359,0.4582,1.004
1.367141,-0.8624,0.3161,0.5515,1.071
1.375830,-0.9129,1.0361,0.7126,1.554
1.384515,-0.8773,1.7116,0.8759,2.113
1.396795,-0.8094,2.2184,1.0249,2.574
1.406874,-0.6452,2.5998,1.1129,2.901
1.408286,-0.3167,2.6282,1.1648,2.892
1.414662,-0.0578,2.3802,1.0721,2.611
1.429438,0.2143,1.8146,0.8501,2.015
1.435911,0.2336,1.3475,0.5262,1.465
1.440476,0.1533,0.9717,0.2363,1.012
1.446573,-0.0814,0.6705,-0.0366,0.676
1.455240,-0.4008,0.4608,-0.2021,0.643
1.463332,-0.5390,0.3619,-0.1195,0.660
1.471629,-0.5970,0.3191,0.1618,0.696
1.479994,-0.7692,0.3397,0.6001,1.033
1.486995,-1.1787,0.2372,1.0232,1.579
1.494888,-1.7048,-0.0150,1.3014,2.145
1.502843,-2.2247,-0.3143,1.5562,2.733
1.510697,-2.6695,-0.5808,1.4713,3.103
1.519048,-2.8768,-0.7869,1.0167,3.151
1.527523,-2.8704,-0.9675,0.3286,3.047
1.535059,-2.6879,-1.0782,-0.1412,2.900
1.542937,-2.4303,-1.1145,-0.3603,2.698
1.551345,-1.9482,-1.2448,-0.3705,2.341
1.559074,-1.4839,-1.2462,-0.0820,1.939
1.567346,-1.2417,-1.0710,0.3897,1.685
1.577355,-1.1615,-0.7816,0.8427,1.634
1.583371,-1.1936,-0.6178,1.1887,1.794
1.594627,-1.1726,-0.5102,1.4125,1.905
1.607408,-1.2871,-0.4854,1.4575,2.004
1.607990,-1.2759,-0.6349,1.2221,1.877
1.615686,-1.2266,-0.8387,0.7421,1.661
1.624577,-1.3302,-1.0467,0.2612,1.713
1.630963,-1.2107,-1.1430,-0.0016,1.665
1.638990,-1.1429,-1.2067,-0.0571,1.663
1.646853,-1.0591,-1.2661,-0.0070,1.651
1.654747,-0.8186,-1.3144,0.1450,1.555
1.663225,-0.5740,-1.2965,0.3014,1.450
1.670816,-0.4520,-1.3010,0.4686,1.455
1.679411,-0.2901,-1.1913,0.5110,1.328
1.686698,-0.2179,-1.1679,0.5627,1.315
1.694706,-0.1938,-1.2661,0.5970,1.413
1.702577,-0.0522,-1.4184,0.7667,1.613
1.710454,0.0881,-1.6172,0.9453,1.875
1.718750,0.2593,-1.9458,1.0625,2.232
1.727187,0.2409,-2.2156,1.3838,2.623
1.734990,-0.2971,-2.3053,1.8885,2.995
1.743623,-0.6964,-2.3337,2.2206,3.296
1.751083,-0.9189,-2.3231,2.5140,3.544
1.759402,-1.0339,-2.1812,2.5903,3.541
1.767026,-0.8840,-1.9762,2.3159,3.170
1.775110,-0.4605,-1.7477,1.8723,2.602
1.783023,0.1002,-1.5980,1.3947,2.123
1.793270,0.5641,-1.5282,1.0467,1.936
1.803647,0.7516,-1.6394,0.7052,1.936
1.808348,0.8980,-1.7164,0.3731,1.973
1.816116,1.2086,-1.8285,0.4340,2.234
1.824213,1.3795,-1.6437,0.8090,2.293
1.832894,1.5800,-1.2803,1.3899,2.463
1.841150,1.5661,-0.7645,2.0660,2.703
1.849589,1.5586,-0.4395,2.4830,2.964
1.855227,1.4637,0.0309,2.5967,2.981
1.863376,1.5469,0.5014,2.4591,2.948
1.871261,1.8669,0.8844,2.3103,3.099
1.879651,2.1905,1.0129,1.9230,3.086
1.887319,2.6397,0.7893,1.5222,3.148
1.895478,2.9329,0.5298,1.3161,3.258
1.912667,3.3600,-0.0578,1.3098,3.607
1.913680,3.7081,-0.9038,1.6176,4.145
1.919925,3.6030,-1.6187,2.1831,4.513
1.927537,3.2196,-1.9856,2.8709,4.749
1.935766,2.7674,-1.9423,3.8162,5.099
1.946598,2.0532,-0.6887,3.8228,4.394
1.951386,2.0269,1.7225,2.6695,3.768
1.959172,1.3480,3.6114,2.7106,4.712
1.966950,0.6010,5.2309,4.1980,6.734
1.975169,0.4076,5.7349,4.0492,7.032
1.983375,0.3432,5.9404,3.2976,6.803
1.995251,0.0748,6.0696,3.2526,6.887
1.999944,-0.2965,6.3468,3.1676,7.100
2.006982,0.4471,5.2465,2.0076,5.635
2.015634,1.7400,2.8367,0.9174,3.452
2.023392,3.1225,0.7607,-0.4163,3.241
2.032849,4.5000,0.0805,-1.9990,4.925
2.040500,5.4447,0.5527,-3.6813,6.596
2.048959,4.5056,1.3985,-3.7927,6.053
2.056994,2.2813,1.3448,-3.8059,4.637
2.063342,-1.2901,0.6275,-2.4578,2.846
2.071565,-4.2690,-0.1973,1.2252,4.446
2.079719,-5.2706,-2.2518,2.5504,6.273
2.087375,-5.4688,-4.1784,2.8636,7.454
2.095753,-5.2371,-5.1454,2.6599,7.809
2.108213,-4.6034,-5.1285,1.3639,7.025
2.113137,-3.6932,-3.3369,-0.1581,4.980
2.118812,-3.1131,-0.6019,-1.3983,3.465
2.126688,-2.7021,2.0366,-2.4489,4.177
2.134845,-2.0300,4.0524,-3.4475,5.695
2.142991,-1.1396,5.1201,-4.2860,6.774
2.151023,0.2774,5.0254,-4.6615,6.860
2.158793,1.8746,3.4503,-3.9847,5.594
2.166872,2.7915,0.9712,-2.2774,3.731
2.175169,2.6044,-1.0301,-0.3797,2.826
2.183295,1.4320,-2.3092,1.2152,2.977
2.195042,-0.1519,-2.9056,1.8674,3.457
2.206541,-1.3142,-3.0320,1.7117,3.722
2.207386,-2.1040,-2.8361,1.0021,3.671
2.217915,-2.3181,-2.4158,0.0009,3.348
2.224514,-2.0429,-1.7412,-0.9167,2.836
2.232581,-1.3849,-0.8260,-1.6631,2.316
2.240933,-0.7013,0.0955,-2.1229,2.238
2.249054,-0.0687,0.7696,-2.2034,2.335
2.255258,0.3359,1.4258,-2.1987,2.642
2.263161,0.6917,1.7744,-2.0412,2.792
2.271190,1.0566,1.6859,-1.8182,2.695
2.279321,1.3069,1.2679,-1.5589,2.397
2.287622,1.4666,0.6661,-1.2231,2.022
2.295204,1.5856,0.0217,-0.8072,1.779
2.308223,1.4918,-0.5529,-0.2728,1.614
2.313417,1.1561,-0.9526,0.2593,1.520
2.319105,0.7066,-1.1989,0.6297,1.527
2.327282,0.1931,-1.2896,0.8632,1.564
2.335060,-0.3388,-1.1409,1.0642,1.597
2.343122,-0.7099,-0.9108,1.2398,1.694
2.351280,-0.9981,-0.6877,1.4958,1.925
2.359060,-1.1519,-0.3973,1.6274,2.033
2.367177,-1.0847,-0.1424,1.6285,1.962
2.374899,-0.7074,-0.1024,1.3939,1.566
2.383293,-0.3350,0.0460,0.7798,0.850
2.394041,-0.0082,0.0871,0.2302,0.246
2.403055,0.3584,0.0567,-0.2260,0.428
2.407132,0.8928,-0.1002,-0.6834,1.129
2.415792,1.5263,-0.3145,-0.8774,1.788
2.423746,2.0302,-0.4331,-0.9269,2.273
2.432392,2.3445,-0.4823,-0.5366,2.453
2.440382,2.4767,-0.4548,-0.0609,2.519
2.449196,2.5740,-0.4561,0.3538,2.638
2.458329,2.8264,-0.3590,0.4145,2.879
2.463136,3.1056,-0.2257,0.1003,3.115
2.471354,3.0191,-0.0923,-0.3284,3.038
2.479117,2.7860,0.1298,-0.6302,2.859
2.487533,2.4684,0.0431,-0.5774,2.535
2.498712,2.1461,-0.0123,-0.2484,2.160
2.511385,1.6323,-0.1609,0.2363,1.657
2.512399,1.2608,-0.2710,0.5426,1.399
2.519344,0.9649,-0.1941,0.5614,1.133
2.527522,0.7021,-0.1242,0.1387,0.726
2.535269,0.4981,-0.1977,-0.2716,0.601
2.543160,0.2421,-0.2497,-0.3342,0.482
2.551070,0.1840,-0.4001,-0.2281,0.496
2.559788,0.3809,-0.6752,0.0398,0.776
2.567231,0.6586,-0.9602,0.5438,1.285
2.575735,0.7662,-1.0636,0.8843,1.581
2.583647,0.3613,-0.9250,0.7643,1.253
2.594653,0.5601,-0.8584,0.7089,1.246
2.599914,0.8661,-0.8495,0.7602,1.432
2.607673,0.9503,-0.5249,0.4915,1.192
2.618834,0.8382,-0.1119,0.1921,0.867
2.624460,1.1401,0.0758,0.3247,1.188
2.632960,1.4397,0.1579,0.7068,1.612
2.641974,1.9771,0.1563,0.9231,2.188
2.648817,2.0735,0.3856,0.6187,2.198
2.656501,1.8139,0.5441,-0.1243,1.898
2.662905,1.7767,0.7656,-0.9810,2.169
2.670873,1.9494,1.0284,-1.4183,2.621
2.680022,2.1048,1.1666,-1.5406,2.857
2.693529,2.1816,1.1969,-1.4043,2.857
2.696422,2.3499,1.0281,-1.1351,2.805
2.702470,2.4725,0.8229,-0.6670,2.690
2.710436,3.0014,0.4999,0.1940,3.049
2.718638,3.5071,0.1574,1.2320,3.721
2.726873,4.1813,-0.2739,2.3286,4.794
2.734789,4.7006,-0.6381,2.9220,5.571
2.743402,4.7291,-0.7168,2.2081,5.268
2.751023,4.1411,-0.1317,0.7190,4.205
2.758926,3.2286,1.2030,-0.3068,3.459
2.766936,1.9598,2.6752,0.2681,3.327
2.774988,0.8681,3.0582,1.0801,3.358
2.782984,0.4220,2.6598,0.5627,2.751
2.791395,-0.0929,2.8315,-0.2729,2.846
2.801516,-0.5134,3.1858,-0.4328,3.256
2.810123,-0.9145,3.4001,0.3925,3.543
2.815345,-1.2723,3.1403,2.0237,3.947
2.824133,-1.5616,2.5584,3.0358,4.266
2.832473,-1.7872,1.9692,3.3218,4.255
2.840464,-1.7726,1.6193,2.5991,3.538
2.848687,-1.4547,1.6473,1.4043,2.608
2.858298,-0.7421,1.9765,-0.0390,2.112
2.867008,-0.2662,2.4657,-1.2182,2.763
2.871290,-0.3759,3.1366,-1.9433,3.709
2.882909,-0.9158,3.4939,-2.2435,4.252
2.886970,-1.5182,3.6045,-2.2703,4.522
2.895210,-1.8435,3.4855,-1.9297,4.390
2.903322,-1.8338,3.1129,-1.4281,3.885
2.918764,-1.9365,2.5676,-0.9378,3.350
2.920172,-2.6254,2.2222,0.3040,3.453
2.926771,-4.0788,2.2604,2.2725,5.187
2.934851,-5.1126,2.3264,1.7944,5.897
2.945766,-5.9219,1.8988,1.3616,6.366
