time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.004536,0.0137,0.0027,0.0784,0.080
1.010114,0.0064,-0.0092,0.1095,0.110
1.016831,0.0041,-0.0210,0.0736,0.077
1.026533,0.0208,-0.0139,0.0712,0.075
1.034912,0.0135,-0.0186,0.0927,0.096
1.042524,-0.0056,-0.0211,0.0592,0.063
1.051562,0.0112,-0.0067,0.0808,0.082
1.059020,-0.0007,-0.0139,0.0736,0.075
1.067502,0.0208,-0.0162,0.0760,0.080
1.073148,-0.0032,0.0029,0.0592,0.059
1.080934,0.0231,0.0053,0.0640,0.068
1.088823,0.0184,-0.0114,0.0592,0.063
1.102244,-0.0034,-0.0066,0.0616,0.062
1.108936,-0.0106,-0.0043,0.0736,0.074
1.113136,0.0084,-0.0162,0.0544,0.057
1.120884,-0.0036,-0.0137,0.0808,0.082
1.128922,0.0036,-0.0138,0.0664,0.068
1.136222,0.0035,-0.0137,0.0808,0.082
1.144410,0.0084,-0.0113,0.0664,0.068
1.152623,0.0205,-0.0065,0.0760,0.079
1.160890,-0.0059,-0.0113,0.0784,0.079
1.168816,0.0251,-0.0304,0.0832,0.092
1.177320,0.0059,0.0008,0.0616,0.062
1.185105,0.0131,-0.0232,0.0736,0.078
1.192770,0.0227,-0.0063,0.0520,0.057
1.202942,0.0156,-0.0085,0.0592,0.062
1.208933,0.0084,-0.0110,0.0784,0.080
1.217324,0.0084,0.0012,0.0760,0.076
1.225081,0.0109,-0.0060,0.0640,0.065
1.234511,-0.0106,-0.0084,0.0832,0.084
1.242264,0.0157,-0.0252,0.0736,0.079
1.250713,0.0108,-0.0013,0.0832,0.084
1.259268,0.0083,-0.0132,0.0688,0.071
1.267970,0.0226,-0.0060,0.0736,0.077
1.275774,-0.0015,-0.0106,0.0784,0.079
1.281217,0.0056,-0.0011,0.0664,0.067
1.289250,-0.0039,-0.0083,0.0784,0.079
1.297692,0.0104,-0.0108,0.0664,0.068
1.305192,0.0056,-0.0109,0.0592,0.060
1.313220,-0.0017,-0.0036,0.0784,0.078
1.320286,0.0126,-0.0061,0.0520,0.054
1.328664,0.0102,-0.0038,0.0880,0.089
1.336727,0.0102,0.0010,0.0688,0.070
1.344386,0.0078,-0.0063,0.0712,0.072
1.352625,-0.0066,-0.0254,0.0808,0.085
1.361162,0.0006,-0.0207,0.0640,0.067
1.369248,0.0102,0.0151,0.0616,0.064
1.377100,0.0103,-0.0065,0.0784,0.079
1.385582,0.0006,-0.0065,0.0664,0.067
1.392912,0.0125,0.0030,0.0880,0.089
